brand,warehouse_id,city,state,region,selling_price,discount_percent,promotion,promotion_name,holiday_flag,weekend,month,day_of_week,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,delivery_time_days,shipping_cost,category_Electronics,category_Fashion,category_Grocery,category_Home,promotion_type_Buy 1 Get 1,promotion_type_Cashback,promotion_type_Flat Discount,promotion_type_Percentage Discount,promotion_type_No Promotion,festival_name_Dussehra,festival_name_Holi,festival_name_Sankranti,festival_name_Ugadi,holiday_name_Independence Day,holiday_name_New Year,holiday_name_Republic Day,payment_method_Credit Card,payment_method_Debit Card,payment_method_Net Banking,payment_method_UPI,payment_method_Wallet,weather_Cold,weather_Hot,weather_Humid,weather_Rainy,weather_Sunny,year,quarter,week,day,day_name,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,expanding_mean,demand_growth,month_sin,month_cos,day_sin,day_cos
15,9,Vijayawada,Andhra Pradesh,South,1.0474527145376,0.4022148845900283,1,Great Indian Festival,No,No,2,4,-0.08170838985436846,-0.008821534072846556,-0.8918543905722218,1.2227464564327972,Low,1.000935672979468,0.2275824960243696,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2023,1,6,10,Friday,0,26.0,,75.0,47.142857142857146,55.53333333333333,24.916049522537115,58.99363057324841,2.423076923076923,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
15,5,Kolkata,West Bengal,East,-0.847043048409791,0.4022148845900283,1,End of Season Sale,No,No,2,4,0.5586896809534414,-1.5671570461732116,-0.5599316072608054,0.26946179705171824,High,0.008633032968098841,1.039151567207712,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2023,1,8,24,Friday,0,88.0,,51.0,63.42857142857143,61.1,26.850556436550495,58.98122065727699,-0.022727272727272707,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
15,2,Mumbai,Maharashtra,West,0.8998770126736193,-0.0004026175020920403,1,Republic Day Sale,No,No,2,1,-0.8181661712833498,0.19443961967937498,-0.7812134628017496,1.5405080095598234,Medium,0.5047843529737834,0.73945923381103,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2023,1,9,28,Tuesday,0,38.0,,45.0,43.714285714285715,52.53333333333333,21.218814652050995,58.4410480349345,-0.1842105263157895,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
15,5,Kolkata,West Bengal,East,1.3217801967564404,-0.0004026175020920403,1,Republic Day Sale,No,Yes,3,6,-0.9782656889853023,-1.36389589242099,1.0996823092962764,-0.6838228623293606,Low,-0.9836696070432703,-0.27090017099595864,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2023,1,9,5,Sunday,1,79.0,,50.0,73.14285714285714,58.56666666666667,26.4791022722233,58.6420233463035,0.1898734177215189,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
15,4,New Delhi,Delhi,North,0.4114127618112963,0.4022148845900283,1,Diwali Sale,No,No,4,1,1.311157414152618,-0.14432896990766092,-1.223777173883638,0.9049849033057709,Low,-0.9836696070432703,-1.1235443925293864,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2023,2,14,4,Tuesday,0,28.0,,71.0,56.285714285714285,55.666666666666664,18.080507788907944,58.14627659574468,1.5,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
15,9,Vijayawada,Andhra Pradesh,South,1.0000607704856734,-0.8056376216863328,1,Great Indian Festival,No,No,4,2,-0.7541263642025688,0.19443961967937498,1.542246020378165,0.5872233501787445,Low,1.000935672979468,-1.3794827614227165,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,2023,2,16,19,Wednesday,0,28.0,,93.0,49.285714285714285,61.666666666666664,23.64821547681967,58.64113785557987,0.8928571428571428,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
15,8,Lucknow,Uttar Pradesh,North,0.3113990459793009,-1.6108726258705734,0,No Promotion,No,No,4,2,-1.4585642420911598,0.1266859017619678,0.7677595259848602,1.2227464564327972,Medium,-0.4875182870375857,-0.3063944585267389,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2023,2,16,19,Wednesday,0,52.0,,98.0,41.42857142857143,58.833333333333336,25.88343835259096,58.51633986928105,-0.8461538461538461,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
15,3,Chennai,Tamil Nadu,South,-0.25122839238075156,-0.4030201195942124,1,Big Billion Days,No,Yes,4,6,-0.17776810047553995,-1.2283884565861758,-1.6663408849655266,0.5872233501787445,High,-0.9836696070432703,-0.39579988089200596,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,2,16,23,Sunday,1,46.0,89.0,64.0,49.142857142857146,49.766666666666666,14.507797574965965,58.16386554621849,0.4130434782608696,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
15,3,Chennai,Tamil Nadu,South,-0.36175153205343835,1.6100673908663894,1,Big Billion Days,No,No,4,2,-1.7787632774950646,1.346252824275297,0.9890413815258043,0.5872233501787445,Low,1.000935672979468,0.48006072996973076,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2023,2,17,26,Wednesday,0,69.0,86.0,83.0,63.142857142857146,53.03333333333333,18.845234335047643,58.15120967741935,-0.5507246376811594,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
15,1,Bengaluru,Karnataka,South,-1.4384407603226759,1.6100673908663894,1,Big Billion Days,No,No,5,3,-1.6987135186440885,0.05893218384456062,-0.11736789617891688,1.2227464564327972,Medium,-0.4875182870375857,0.5396643448799086,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2023,2,18,4,Thursday,0,45.0,31.0,69.0,62.42857142857143,56.1,23.663312974991094,58.08571428571429,-0.5111111111111111,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
