date,customer_id,order_id,product_id,product_name,brand,warehouse_id,city,state,region,supplier_id,selling_price,procurement_cost,discount_percent,promotion,promotion_name,holiday_flag,festival_flag,weekend,month,day_of_week,inventory_level,reorder_point,safety_stock,supplier_lead_time_days,lead_time_variability,stockout_flag,inventory_turnover,delivery_time_days,return_quantity,shipping_cost,profit_margin,demand_trend,delivery_status,category_Electronics,category_Fashion,category_Grocery,category_Home,promotion_type_Buy 1 Get 1,promotion_type_Cashback,promotion_type_Flat Discount,promotion_type_Percentage Discount,promotion_type_No Promotion,festival_name_Dussehra,festival_name_Holi,festival_name_Sankranti,festival_name_Ugadi,holiday_name_Independence Day,holiday_name_New Year,holiday_name_Republic Day,payment_method_Credit Card,payment_method_Debit Card,payment_method_Net Banking,payment_method_UPI,payment_method_Wallet,weather_Cold,weather_Hot,weather_Humid,weather_Rainy,weather_Sunny,year,quarter,week,day,day_name,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,expanding_mean,demand_growth,month_sin,month_cos,day_sin,day_cos
2023-01-01,CUST100268,ORD202300268,P1021,Nike Fashio 1,10,1,Bengaluru,Karnataka,South,47,-0.5206246571778941,-0.520912500476327,0.4022148845900283,1,End of Season Sale,Yes,No,Yes,1,6,0.3505603079409032,0.8042230809360396,-1.002495318342694,0.9049849033057709,Low,No,0.0515777261455129,1.000935672979468,0,1.46921285606336,0.08383044951142693,Decreasing,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,2023,1,52,1,Sunday,1,,,,,,,78.0,,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01,CUST103875,ORD202303875,P1027,Adidas Fashio 7,1,2,Mumbai,Maharashtra,West,25,1.3371254486153823,0.8982909351092987,-1.6108726258705734,0,No Promotion,Yes,No,Yes,1,6,0.7988389575063701,-0.2120826878250681,-1.002495318342694,0.9049849033057709,Low,No,-1.2553691807091123,-1.4798209270489548,2,-0.7856789574486578,0.8747710050891373,Decreasing,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2023,1,52,1,Sunday,1,62.0,,,,,,57.6,-0.4838709677419355,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01,CUST103668,ORD202303668,P1066,Prestige Hom 6,13,2,Mumbai,Maharashtra,West,48,0.30259004193919475,0.4195228868241093,-0.0004026175020920403,1,Great Indian Festival,Yes,No,Yes,1,6,-0.017668582773587477,0.05893218384456062,-0.44929067949033324,1.2227464564327972,High,No,-0.08845229958891107,0.5047843529737834,1,1.7340806054675786,-0.1651913146134895,Increasing,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,2023,1,52,1,Sunday,1,53.0,,,,,,64.66666666666667,0.18867924528301883,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01,CUST102667,ORD202302667,P1063,Prestige Hom 3,13,8,Lucknow,Uttar Pradesh,North,7,-1.3589730925201935,-1.402389647980089,0.4022148845900283,1,Republic Day Sale,Yes,No,Yes,1,6,-1.4585642420911598,0.7364693630186324,1.0996823092962764,1.5405080095598234,Medium,No,1.6852613597137944,-0.4875182870375857,0,-0.053916224581377785,0.48700854380891045,Increasing,2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,2023,1,52,1,Sunday,1,78.0,,,,,,65.5,-0.3205128205128205,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-01,CUST103381,ORD202303381,P1056,Fortune Grocer 16,4,0,Hyderabad,Telangana,South,6,-0.006952719613233464,-0.34224232119558373,-1.6108726258705734,0,No Promotion,Yes,No,Yes,1,6,-1.5226040491719406,0.939730516770854,-0.44929067949033324,0.26946179705171824,Medium,No,2.5721181893651472,-1.4798209270489548,1,0.19398570185215291,1.119049497516436,Increasing,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,2023,1,52,1,Sunday,1,63.0,,,,,,64.0,-0.015873015873015928,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2023-01-02,CUST101523,ORD202301523,P1054,Fortune Grocer 14,4,9,Vijayawada,Andhra Pradesh,South,27,-0.2458409647686527,-0.09416795234329713,1.6100673908663894,1,Diwali Sale,No,No,No,1,0,-0.1617581487053447,-1.0928810207513615,0.10391395936202738,1.2227464564327972,High,No,-0.13512897483371916,-1.4798209270489548,3,-1.4806079957085243,-0.42607125798244944,Increasing,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2023,1,1,2,Monday,0,71.0,,,59.57142857142857,,14.683972474063264,59.57142857142857,-0.18309859154929575,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-02,CUST101176,ORD202301176,P1018,Apple Electronic 18,2,0,Hyderabad,Telangana,South,6,-0.6115763796823792,-0.3527430713555747,0.4022148845900283,1,Big Billion Days,No,No,No,1,0,-1.922852843426822,0.939730516770854,1.3209641648372208,1.5405080095598234,Medium,No,0.5650211538384015,-0.9836696070432703,0,-1.1934167950270858,-1.1482343739447067,Increasing,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2023,1,1,2,Monday,0,66.0,,,53.285714285714285,,18.988718455215153,56.0,-0.6818181818181819,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-02,CUST101233,ORD202301233,P1028,Puma Fashio 8,14,0,Hyderabad,Telangana,South,41,0.5687181828269195,1.20330290410322,1.6100673908663894,1,Great Indian Festival,No,No,No,1,0,-0.9942756407554976,0.8042230809360396,1.4316050926076929,1.2227464564327972,Medium,No,1.451877983489754,-0.9836696070432703,0,1.4414201592232208,-1.269780711196154,Stable,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2023,1,1,2,Monday,0,32.0,,,,,,59.833333333333336,1.21875,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-02,CUST101479,ORD202301479,P1039,Levis Fashio 19,6,7,Kochi,Kerala,South,43,1.8447505274745462,1.1206958071998576,-0.4030201195942124,1,Big Billion Days,No,No,No,1,0,-0.3698875217178829,-0.07657525199025374,0.8784004537553323,-1.3193459685834132,Medium,No,0.33163777761436114,0.008633032968098841,2,0.29645034321459396,1.1777474847744522,Increasing,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2023,1,1,2,Monday,0,58.0,,,57.857142857142854,,12.746614863413363,60.375,0.13793103448275867,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-02,CUST101582,ORD202301582,P1060,Tata Grocer 20,17,4,New Delhi,Delhi,North,39,1.0396515202817433,1.1836146202848858,-0.4030201195942124,1,Diwali Sale,No,No,No,1,0,1.119037992910275,-1.296142174503583,-1.223777173883638,-0.04829975607530804,Medium,No,-0.08845229958891107,0.008633032968098841,3,-0.10291620013487641,-0.11657277971291055,Stable,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2023,1,1,2,Monday,0,21.0,,,57.42857142857143,,23.971212894199734,59.6,3.3809523809523814,0.49999999999999994,0.8660254037844387,0.0,1.0
2023-01-03,CUST101262,ORD202301262,P1018,Apple Electronic 18,2,7,Kochi,Kerala,South,6,-0.47817637264376706,-0.8106092563846401,-1.6108726258705734,0,No Promotion,No,No,No,1,1,0.23849064554953647,-0.8218661490817327,-0.228008823949389,-1.0015844154563869,High,No,-0.13512897483371916,-0.4875182870375857,2,0.6291813845015619,1.477166510686554,Stable,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2023,1,1,3,Tuesday,0,94.0,,,61.142857142857146,,27.35220022489703,60.357142857142854,-0.2872340425531915,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-03,CUST101517,ORD202301517,P1035,Puma Fashio 15,14,1,Bengaluru,Karnataka,South,7,-1.4979969269968394,-1.5142212920836313,0.8048323866821486,1,Republic Day Sale,No,No,No,1,1,-1.0743253996064737,-0.14432896990766092,1.4316050926076929,-1.3193459685834132,High,No,-0.22848232532333532,-0.9836696070432703,2,0.5965891456368205,-0.09641387499803639,Stable,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2023,1,1,3,Tuesday,0,54.0,,,56.57142857142857,,23.57864247475628,57.0,-0.37037037037037035,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-03,CUST101811,ORD202301811,P1097,Lakme Beaut 17,5,0,Hyderabad,Telangana,South,13,-0.6333376057645057,-0.1466328446883478,1.6100673908663894,1,Diwali Sale,No,No,No,1,1,-0.3058477146371019,-0.07657525199025374,0.5464776704439159,0.26946179705171824,Medium,No,1.1718179320209061,1.000935672979468,3,0.7718282381629997,-2.2741684931666497,Decreasing,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,2023,1,1,3,Tuesday,0,34.0,,,59.857142857142854,,27.242299042901227,59.84615384615385,1.7647058823529411,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-03,CUST103810,ORD202303810,P1055,Nestle Grocer 15,9,3,Chennai,Tamil Nadu,South,42,0.5332250300137237,0.6554664431516884,0.8048323866821486,1,Great Indian Festival,No,No,No,1,1,-0.27382781109671145,-1.7026644820080261,0.5464776704439159,-0.04829975607530804,High,No,-0.18180565007852723,1.000935672979468,1,1.6415498999235003,-0.13969622923879557,Decreasing,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2023,1,1,3,Tuesday,0,92.0,,,56.285714285714285,,23.90756007148008,59.09090909090909,-0.4130434782608695,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2023-01-04,CUST103517,ORD202303517,P1002,Samsung Electronic 2,15,8,Lucknow,Uttar Pradesh,North,20,-0.7123532107419545,-0.8598558715670784,-0.0004026175020920403,1,Big Billion Days,No,No,No,1,2,0.8148489092765654,-1.2283884565861758,0.9890413815258043,-0.04829975607530804,High,No,0.004901050900704822,1.4970869929851525,0,1.7231421143417405,0.8297099239617716,Increasing,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2023,1,1,4,Wednesday,0,41.0,,,67.14285714285714,,24.92942419062643,60.875,1.1463414634146343,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2023-01-04,CUST104484,ORD202304484,P1075,Milton Hom 15,8,5,Kolkata,West Bengal,East,3,-0.0053103629277900175,0.28722180432158656,1.6100673908663894,1,Weekend Flash Sale,No,No,No,1,2,-1.7947732292652598,1.6172676959449257,-0.11736789617891688,-0.04829975607530804,Low,No,2.1053514369170667,-1.4798209270489548,1,-0.5847678959536755,-0.7569144588912667,Stable,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2023,1,1,4,Wednesday,0,67.0,,,57.57142857142857,,28.2303450377848,59.06666666666667,-0.3880597014925373,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2023-01-04,CUST103720,ORD202303720,P1089,Loreal Beaut 9,7,8,Lucknow,Uttar Pradesh,North,3,0.6667370159172525,0.07504965868924084,-0.8056376216863328,1,End of Season Sale,No,No,No,1,2,-0.06569843808417322,-1.2283884565861758,1.542246020378165,0.9049849033057709,Medium,No,-0.22848232532333532,1.4970869929851525,1,-0.06295722234865202,1.395345073902653,Increasing,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2023,1,1,4,Wednesday,0,88.0,,,62.285714285714285,,22.470085934521077,60.705882352941174,-0.34090909090909094,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2023-01-05,CUST100924,ORD202300924,P1061,Milton Hom 1,8,2,Mumbai,Maharashtra,West,36,-1.5026087972852566,-1.497918675695191,-0.0004026175020920403,1,Big Billion Days,No,No,No,1,3,1.2791375106122276,1.2107453884404826,1.542246020378165,-0.04829975607530804,High,No,-0.6485724025266075,-1.4798209270489548,0,-1.139617277448985,-0.7693655470975127,Stable,2,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2023,1,1,5,Thursday,0,58.0,,,64.0,,22.188585654190156,61.0,0.13793103448275867,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
